Brand,Image URL
Honda,https://wallpapers.com/images/high/honda-logo-silver-emblem-tedwuquzqtp5iotc.png
Hyundai,"https://cdn.mos.cms.futurecdn.net/v2/t:0,l:0,cw:1920,ch:1080,q:80,w:1920/b4VFMLdjLx3TudR9xCMeDT.jpg"
Mahindra,https://logos-world.net/wp-content/uploads/2022/12/Mahindra-Mahindra-Logo.jpg
Maruti Suzuki,https://i.pinimg.com/736x/7c/e0/5d/7ce05d694d74bd703c657018682cd2e6.jpg
Kia,https://cherrytuning.com.au/cdn/shop/products/KiaBadge02.jpg
Skoda,https://logos-world.net/wp-content/uploads/2021/04/Skoda-Auto-Logo-1999-2011.png
Volkswagen,https://e1.pngegg.com/pngimages/754/395/png-clipart-volkswagen-logo-512-volkswagen-logo-illustration.png
Tata,https://www.purppledesigns.com/wp-content/uploads/2023/11/images-1.jpg
Maruti Nexa,https://whatthelogo.com/storage/logos/maruti-suzuki-nexa-34802.png
